c_estate,e_estate,pc_addr,pe_addr,scp_mktc,scp_mkte,min_opdate,max_opdate,blgcount,pc_dev,pe_dev,facilities_c,facilities_e,url
陽明山莊,HONG KONG PARKVIEW,大潭水塘道 88 號,88 TAI TAM RESERVOIR ROAD,香港,HK,1988,1989,18,陽明山莊地產,Tri-View Ltd?,室內泳池、兒童嬉水池、健身室、按摩池、桑拿浴室、蒸氣浴室、壁球場、網球場、燒烤場、高爾夫球練習場、宴會廳,Indoor Swimming Pool、Children's Pool、Gymnasium、Jacuzzi、Saunna Room、Steam Bath Room、Squash Court、Tennis Court、Barbecue Area、Golf Driving Range、Ball Room,http://hk.centadata.com/ptest.aspx?type=3&code=TLMLZHZXHZ&ref=OpenData
城市花園,CITY GARDEN,電氣道 233 號,233 ELECTRIC ROAD,香港,HK,1982,1986,14,長江,CK HUTCHISON,室內泳池、兒童遊樂場 / 兒童遊戲室、健身室、桑拿浴室、壁球場,Indoor Swimming Pool、Children Playground/Play Room、Gymnasium、Saunna Room、Squash Court,http://hk.centadata.com/ptest.aspx?type=3&code=TNDTZHTRHT&ref=OpenData
和富中心,PROVIDENT CENTRE,和富道 37 號,37 WHARF ROAD,香港,HK,1982,1984,17,和記黃埔,HUTCHISON WHAMPOA,室外泳池、兒童遊樂場 / 兒童遊戲室,Swimming Pool、Children Playground/Play Room,http://hk.centadata.com/ptest.aspx?type=2&code=TNITZHLYHD&ref=OpenData
南豐新邨,NAN FUNG SUN CHUEN,基利坊 21 號,21 GREIG CRESCENT,香港,HK,1977,1978,12,南豐,NAN FUNG,遊樂場 / 遊戲室、籃球場、羽毛球場,Playground/Playroom、Basketball Court、Badminton Court,http://hk.centadata.com/ptest.aspx?type=2&code=TNTLTHHXHX&ref=OpenData
翰林軒,UNIVERSITY HEIGHTS,蒲飛路 23 號,23 POKFIELD ROAD,香港,HK,1996,1996,2,匯豐/長江,HSBC/CK HUTCHISON,室外泳池、桑拿浴室、緩跑徑、園林花園,Swimming Pool、Saunna Room、Jogging Trail、Landscape Garden,http://hk.centadata.com/ptest.aspx?type=2&code=TTXNZHIXHT&ref=OpenData
嘉富麗苑,CLOVELLY COURT,梅道 12 號,12 MAY ROAD,香港,HK,1994,1994,2,新世界,NEW WORLD,,,http://hk.centadata.com/ptest.aspx?type=2&code=TZHNTHDXHM&ref=OpenData
地利根德閣,TREGUNTER,地利根德里 14 號,14 TREGUNTER PATH,香港,HK,1981,1993,3,嘉里,KERRY,室外泳池、兒童遊樂場 / 兒童遊戲室、健身室、按摩池、桑拿浴室、壁球場、網球場、宴會廳,Swimming Pool、Children Playground/Play Room、Gymnasium、Jacuzzi、Saunna Room、Squash Court、Tennis Court、Ball Room,http://hk.centadata.com/ptest.aspx?type=2&code=TZHNZHLAHM&ref=OpenData
帝景園,DYNASTY COURT,舊山頂道 17-23 號,17-23 OLD PEAK ROAD,香港,HK,1991,1991,5,新鴻基,SUN HUNG KAI,室外泳池、兒童遊樂場 / 兒童遊戲室、蒸氣浴室、乒乓球室、壁球場、網球場、桌球室、高爾夫球練習場、健康舞室、電腦哥爾夫球練習室,Swimming Pool、Children Playground/Play Room、Steam Bath Room、Table Tennis、Squash Court、Tennis Court、Snooker Room、Golf Driving Range、Aerobic Studio、Golf Simulator,http://hk.centadata.com/ptest.aspx?type=2&code=TZLSZHZHHM&ref=OpenData
雍景臺,ROBINSON PLACE,羅便臣道 70 號,70 ROBINSON ROAD,香港,HK,1994,1994,2,太古,SWIRE,室外泳池、健身室、壁球場、網球場,Swimming Pool、Gymnasium、Squash Court、Tennis Court,http://hk.centadata.com/ptest.aspx?type=2&code=TZMNIHIXHM&ref=OpenData
得寶花園,TAK BO GARDEN,牛頭角道3號,3 NGAU TAU KOK ROAD,九龍,KL,1984,1984,8,恆基,HENDERSON,室外泳池、遊樂場 / 遊戲室,Swimming Pool、Playground/Playroom,http://hk.centadata.com/ptest.aspx?type=2&code=UCROURFHRO&ref=OpenData
美孚新村,MEI FOO SUN CHUEN,百老匯街22-24號,22-24 BROADWAY,九龍,KL,1968,1978,99,新世界/美孚企業,NEW WORLD/MEI FOO INV,室外泳池、兒童遊樂場 / 兒童遊戲室、遊樂場 / 遊戲室、健身室、乒乓球室、網球場、籃球場、保齡球場、電影院、緩跑徑,Swimming Pool、Children Playground/Play Room、Playground/Playroom、Gymnasium、Table Tennis、Tennis Court、Basketball Court、Bowling、Movie Theater、Jogging Trail,http://hk.centadata.com/ptest.aspx?type=3&code=UDDCFRDSRR&ref=OpenData
又一居,PARC OASIS,瑰麗路21號,21 GRANDEUR ROAD,九龍,KL,1992,1995,32,會德豐/信和,WHEELOCK/SINO,室外泳池、兒童遊樂場 / 兒童遊戲室、健身室、桑拿浴室、乒乓球室、壁球場、網球場、閱讀室 / 溫習室、宴會廳,Swimming Pool、Children Playground/Play Room、Gymnasium、Saunna Room、Table Tennis、Squash Court、Tennis Court、Reading/Study Room、Ball Room,http://hk.centadata.com/ptest.aspx?type=2&code=UDSQURJHRF&ref=OpenData
大興花園,TAI HING GARDENS,震寰路11號,11 TSUN WEN ROAD,新界西,NW,1989,1994,15,大興紡織/恆隆,TAI HING COTTON MILL/HANG LUNG,室外泳池、遊樂場 / 遊戲室、蒸氣浴室、壁球場、羽毛球場、高爾夫球練習場,Swimming Pool、Playground/Playroom、Steam Bath Room、Squash Court、Badminton Court、Golf Driving Range,http://hk.centadata.com/ptest.aspx?type=3&code=VCDOURFSRO&ref=OpenData
新元朗中心,SUN YUEN LONG CENTRE,朗日路8號,8 LONG YAT ROAD,新界西,NW,1993,1993,5,新鴻基/港鐵,SUN HUNG KAI/MTR,室外泳池、兒童嬉水池、兒童遊樂場 / 兒童遊戲室、網球場、屋苑停車場、平台花園,Swimming Pool、Children's Pool、Children Playground/Play Room、Tennis Court、Car Park、Terrence Garden,http://hk.centadata.com/ptest.aspx?type=2&code=VCFCFRVJRV&ref=OpenData
花都廣場,FLORA PLAZA,百和路88號,88 PAK WO ROAD,新界東,NE,1995,1995,10,恆基/華懋,HENDERSON/CHINACHEM,室外泳池、遊樂場 / 遊戲室、健身室、蒸氣浴室、壁球場、網球場,Swimming Pool、Playground/Playroom、Gymnasium、Steam Bath Room、Squash Court、Tennis Court,http://hk.centadata.com/ptest.aspx?type=2&code=VJOVQRSERQ&ref=OpenData
上水中心,SHEUNG SHUI CENTRE,智昌路3號,3 CHI CHEONG ROAD,新界東,NE,1993,1993,6,恆基,HENDERSON,室外泳池、兒童嬉水池、兒童遊樂場 / 兒童遊戲室、網球場,Swimming Pool、Children's Pool、Children Playground/Play Room、Tennis Court,http://hk.centadata.com/ptest.aspx?type=2&code=VJURURFRRQ&ref=OpenData
嘉湖山莊,KINGSWOOD VILLAS,天湖路1號,1 TIN WU ROAD,新界西,NW,1991,1997,58,長江,CK HUTCHISON,室內泳池、室外泳池、兒童遊樂場 / 兒童遊戲室、遊樂場 / 遊戲室、健身室、桑拿浴室、蒸氣浴室、乒乓球室、壁球場、網球場、桌球室、保齡球場、燒烤場、閱讀室 / 溫習室、宴會廳、太極圈、舞蹈室、麻雀房,Indoor Swimming Pool、Swimming Pool、Children Playground/Play Room、Playground/Playroom、Gymnasium、Saunna Room、Steam Bath Room、Table Tennis、Squash Court、Tennis Court、Snooker Room、Bowling、Barbecue Area、Reading/Study Room、Ball Room、Tai Chi Circle、Dance Studio、Marjong,http://hk.centadata.com/ptest.aspx?type=3&code=VOOFFRFARR&ref=OpenData
映灣園,CARIBBEAN COAST,文東路,MAN TUNG ROAD,新界西,NW,2002,2011,69,長江/和記/港鐵,CK HUTCHISON/HUTCHISN WHAMPOA/MTR,室內泳池、室外泳池、兒童嬉水池、兒童遊樂場 / 兒童遊戲室、健身室、按摩池、桑拿浴室、蒸氣浴室、乒乓球室、壁球場、網球場、籃球場、桌球室、保齡球場、卡拉OK室、燒烤場、沙灘排球場、高爾夫球練習場、音樂室、閱讀室 / 溫習室、電腦室、浴足池 / 健足按摩室、緩跑徑、宴會廳、迷你酒吧、攀石練習場、太極圈、美容中心、健康舞室、模型賽車,Indoor Swimming Pool、Swimming Pool、Children's Pool、Children Playground/Play Room、Gymnasium、Jacuzzi、Saunna Room、Steam Bath Room、Table Tennis、Squash Court、Tennis Court、Basketball Court、Snooker Room、Bowling、Karaoke Room、Barbecue Area、Beach Volleyball Court、Golf Driving Range、Music Room、Reading/Study Room、Computer Room、Foot Massage、Jogging Trail、Ball Room、Mnin Bar、Rock Climbing、Tai Chi Circle、Beauty Salon、Aerobic Studio、Model Car Racing,http://hk.centadata.com/ptest.aspx?type=3&code=WBPPWPPEPP&ref=OpenData
藍天海岸,COASTAL SKYLINE,海濱路12號,12 TUNG CHUNG WATERFRONT ROAD,新界西,NW,2005,2007,54,香港興業/港鐵及其他,HKR INTERNATIONAL/MTR & OTHERS,室內泳池、室外泳池、兒童嬉水池、兒童遊樂場 / 兒童遊戲室、健身室、按摩池、日光浴場、桑拿浴室、蒸氣浴室、乒乓球室、壁球場、網球場、籃球場、羽毛球場、保齡球場、卡拉OK室、燒烤場、音樂室、閱讀室 / 溫習室、圖書館、緩跑徑、宴會廳、健康舞室,Indoor Swimming Pool、Swimming Pool、Children's Pool、Children Playground/Play Room、Gymnasium、Jacuzzi、Solarium、Saunna Room、Steam Bath Room、Table Tennis、Squash Court、Tennis Court、Basketball Court、Badminton Court、Bowling、Karaoke Room、Barbecue Area、Music Room、Reading/Study Room、Library、Jogging Trail、Ball Room、Aerobic Studio,http://hk.centadata.com/ptest.aspx?type=3&code=WBPPWPPHPP&ref=OpenData
珀麗灣,PARK ISLAND,珀麗路8號,8 PAK LAI ROAD,新界西,NW,2002,2009,31,新鴻基,SUN HUNG KAI,室內泳池、室外泳池、兒童嬉水池、兒童遊樂場 / 兒童遊戲室、健身室、按摩池、桑拿浴室、蒸氣浴室、壁球場、網球場、籃球場、羽毛球場、桌球室、保齡球場、燒烤場、可養狗、高爾夫球練習場、音樂室、閱讀室 / 溫習室、圖書館、電腦室、宴會廳、美容中心、舞蹈室、香薰水療,Indoor Swimming Pool、Swimming Pool、Children's Pool、Children Playground/Play Room、Gymnasium、Jacuzzi、Saunna Room、Steam Bath Room、Squash Court、Tennis Court、Basketball Court、Badminton Court、Snooker Room、Bowling、Barbecue Area、Pet Friendly、Golf Driving Range、Music Room、Reading/Study Room、Library、Computer Room、Ball Room、Beauty Salon、Dance Studio、Arome Spa,http://hk.centadata.com/ptest.aspx?type=3&code=WDPPWPPEPB&ref=OpenData
沙田中心,SHATIN CENTRE,橫壆街2-16號,2-16 WANG POK STREET,新界東,NE,1981,1981,8,恆基,HENDERSON,室外泳池、兒童遊樂場 / 兒童遊戲室、羽毛球場,Swimming Pool、Children Playground/Play Room、Badminton Court,http://hk.centadata.com/ptest.aspx?type=2&code=XSDTIHLYHT&ref=OpenData
沙田第一城,CITY ONE SHATIN,得利街4號,4 TAK LEE STREET,新界東,NE,1980,1987,52,長江/新鴻基/新世界/恆基,CK HUTCHISON/SUN HUNG KAI/NEW WORLD/HENDERSON,室外泳池、兒童遊樂場 / 兒童遊戲室、健身室、壁球場、網球場、籃球場,Swimming Pool、Children Playground/Play Room、Gymnasium、Squash Court、Tennis Court、Basketball Court,http://hk.centadata.com/ptest.aspx?type=3&code=XSHNIHSXHT&ref=OpenData
新港城,SUNSHINE CITY,鞍誠街18號,18 ON SHING STREET,新界東,NE,1993,1996,20,恆基,HENDERSON,室外泳池、遊樂場 / 遊戲室、健身室、蒸氣浴室、壁球場、網球場、高爾夫球練習場,Swimming Pool、Playground/Playroom、Gymnasium、Steam Bath Room、Squash Court、Tennis Court、Golf Driving Range,http://hk.centadata.com/ptest.aspx?type=3&code=XSHNIHZXHN&ref=OpenData
銀禧花園,JUBILEE GARDEN,樂景街2-18號,2-18 LOK KING STREET,新界東,NE,1985,1986,9,長江,CK HUTCHISON,室外泳池、遊樂場 / 遊戲室、桑拿浴室、乒乓球室、網球場、籃球場,Swimming Pool、Playground/Playroom、Saunna Room、Table Tennis、Tennis Court、Basketball Court,http://hk.centadata.com/ptest.aspx?type=2&code=XSHSTHZHHT&ref=OpenData
馬鞍山中心,MA ON SHAN CENTRE,鞍駿街1號,1 ON CHUN STREET,新界東,NE,1994,1994,4,南豐,NAN FUNG,室外泳池、健身室,Swimming Pool、Gymnasium,http://hk.centadata.com/ptest.aspx?type=2&code=XSSHIHXHHN&ref=OpenData
雅典居,VILLA ATHENA,西沙路600號,600 SAI SHA ROAD,新界東,NE,1994,1994,10,新鴻基,SUN HUNG KAI,室外泳池、兒童遊樂場 / 兒童遊戲室、健身室、桑拿浴室、網球場、屋苑停車場,Swimming Pool、Children Playground/Play Room、Gymnasium、Saunna Room、Tennis Court、Car Park,http://hk.centadata.com/ptest.aspx?type=2&code=XSTNTHIOHN&ref=OpenData
維景灣畔,OCEAN SHORES,澳景路88號,88 O KING ROAD,九龍,KL,2000,2003,15,太古/新鴻基,SWIRE/SUN HUNG KAI,室外泳池、兒童嬉水池、兒童遊樂場 / 兒童遊戲室、健身室、按摩池、日光浴場、桑拿浴室、蒸氣浴室、壁球場、網球場、桌球室、保齡球場、高爾夫球練習場、圖書館、健康舞室、電腦哥爾夫球練習室,Swimming Pool、Children's Pool、Children Playground/Play Room、Gymnasium、Jacuzzi、Solarium、Saunna Room、Steam Bath Room、Squash Court、Tennis Court、Snooker Room、Bowling、Golf Driving Range、Library、Aerobic Studio、Golf Simulator,http://hk.centadata.com/ptest.aspx?type=3&code=YAPPWPPEPA&ref=OpenData
新都城,THE METRO CITY,貿業路8號,8 MAU YIP ROAD,九龍,KL,1996,2000,21,恆基,HENDERSON LAND,室內泳池、室外泳池、兒童遊樂場 / 兒童遊戲室、健身室、按摩池、桑拿浴室、蒸氣浴室、乒乓球室、壁球場、網球場、桌球室、保齡球場、卡拉OK室、可養狗、音樂室、宴會廳、迷你酒吧、太極圈、舞蹈室、電腦哥爾夫球練習室,Indoor Swimming Pool、Swimming Pool、Children Playground/Play Room、Gymnasium、Jacuzzi、Saunna Room、Steam Bath Room、Table Tennis、Squash Court、Tennis Court、Snooker Room、Bowling、Karaoke Room、Pet Friendly、Music Room、Ball Room、Mnin Bar、Tai Chi Circle、Dance Studio、Golf Simulator,http://hk.centadata.com/ptest.aspx?type=3&code=YAPPWPPEPG&ref=OpenData
